"id","Line_raw","Line","Character_raw","Character","Setting"
"id0036","Right.","Right.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0037","ANGLE ON JOURNAL, pages and pages of notes, all in neat, angry-looking handwriting. Also, cut out photos from hardcore pornographic magazines and some crude handmade drawings.","ANGLE ON JOURNAL, pages and pages of notes, all in neat, angry-looking handwriting. Also, cut out photos from hardcore pornographic magazines and some crude handmade drawings.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0038","A flash of anger crosses Joker's face. We see him picking at his right eyebrow, almost obsessively. Trying to stay calm. His eyebrow is actually half-gone. Something he does a lot.","A flash of anger crosses Joker's face. We see him picking at his right eyebrow, almost obsessively. Trying to stay calm. His eyebrow is actually half-gone. Something he does a lot.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0039","I didn't realize you wanted to read it.","I didn't realize you wanted to read it.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0040","The social worker gives him a look, then reads something in the pages that gives her pause.","The social worker gives him a look, then reads something in the pages that gives her pause.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0041","(reading out loud) ""I just hope my death makes more sense than my life.""","""I just hope my death makes more sense than my life.""","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0042","She looks up at Joker. He just stares back. Lets it hang out there for a beat.","She looks up at Joker. He just stares back. Lets it hang out there for a beat.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0043","Then he laughs a little, even though he doesn't think it's funny--","Then he laughs a little, even though he doesn't think it's funny--","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0044","Yeah. I mean, that's just--","Yeah. I mean, that's just--","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0045","Does my reading it upset you?","Does my reading it upset you?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0046","He leans in.","He leans in.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0047","No. I just,-- some of it's personal. You know?","No. I just,-- some of it's personal. You know?","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0048","I understand. I just want to make sure you're keeping up with it.","I understand. I just want to make sure you're keeping up with it.","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0049","She slides his journal back to him. He holds it in his lap.","She slides his journal back to him. He holds it in his lap.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0050","What about your mom? How's she feeling?","What about your mom? How's she feeling?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0051","She has good days. But mostly bad. It's been a big help having me there. She really needs me.","She has good days. But mostly bad. It's been a big help having me there. She really needs me.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0052","Seems like she's been sick a lot since you got home.","Seems like she's been sick a lot since you got home.","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0053","(nods) Yeah, it's good I'm there. When I was in the hospital, after my last episode-- she was having trouble getting over there to visit.","Yeah, it's good I'm there. When I was in the hospital, after my last episode-- she was having trouble getting over there to visit.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0054","She looks back up at the clock, she needs to get to her next appointment.","She looks back up at the clock, she needs to get to her next appointment.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0055","All right. So, I'll see you again, two weeks from today?","All right. So, I'll see you again, two weeks from today?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0056","He nods. But keeps sitting there for a moment.","He nods. But keeps sitting there for a moment.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0057","She stands up, trying to signal it's time for him to leave--","She stands up, trying to signal it's time for him to leave--","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0058","Is there something else I can help you with, Arthur? My next appointment is waiting.","Is there something else I can help you with, Arthur? My next appointment is waiting.","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0059","He just keeps sitting there.","He just keeps sitting there.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0060","Yeah, I was wondering if you could ask the doctor to increase the dosage on my medications? Nothing seems to make a difference.","Yeah, I was wondering if you could ask the doctor to increase the dosage on my medications? Nothing seems to make a difference.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0061","(looking over his record) Do you know which ones you'd like increased?","Do you know which ones you'd like increased?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0062","Shakes his head, no.","Shakes his head, no.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0063","Have you been sleeping?","Have you been sleeping?","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0064","(lying) Some.","Some.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0065","She glances at his file again.","She glances at his file again.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0066","Arthur, you're on seven different medications. Surely they must be doing something.","Arthur, you're on seven different medications. Surely they must be doing something.","SOCIAL WORKER","SOCIAL WORKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0067","He finally stands up. Zips up his faded red sweatshirt.","He finally stands up. Zips up his faded red sweatshirt.","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0068","Looks at her--","Looks at her--","CONTEXT","CONTEXT","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0069","I just don't wanna feel so bad anymore.","I just don't wanna feel so bad anymore.","JOKER","JOKER","INT. DEPT. OF HEALTH, OFFICE - MORNING"
"id0070","GOTHAM SQUARE IS CLOGGED WITH TRAFFIC. Non-stop honking horns, pedestrians crowding the sidewalk. Huge billboards, giant movie marquees, garbage bags piled high everywhere. Underneath it all we hear a TINKLING PIANO playing something bouncy and fast-paced.","GOTHAM SQUARE IS CLOGGED WITH TRAFFIC. Non-stop honking horns, pedestrians crowding the sidewalk. Huge billboards, giant movie marquees, garbage bags piled high everywhere. Underneath it all we hear a TINKLING PIANO playing something bouncy and fast-paced.","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0071","FROM ACROSS THE BUSY CITY STREET, we see Joker. He's dressed as a sad-faced HOBO CLOWN. This is his job.","FROM ACROSS THE BUSY CITY STREET, we see Joker. He's dressed as a sad-faced HOBO CLOWN. This is his job.","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0072","Dressed in tattered clothes, dark five o'clock shadow painted on his face, big bulbous red nose, his mouth's outlined in white, turned down at the corners.","Dressed in tattered clothes, dark five o'clock shadow painted on his face, big bulbous red nose, his mouth's outlined in white, turned down at the corners.","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0073","He's holding up a sign in front of Kenny's Music Shop that reads, ""EVERYTHING MUST GO!"" A banner above the store reads, ""GOING OUT OF BUSINESS!"" Behind him, an OLD MAN plays a piano on the street. Both of them there to draw attention to the big sale going on in the store.","He's holding up a sign in front of Kenny's Music Shop that reads, ""EVERYTHING MUST GO!"" A banner above the store reads, ""GOING OUT OF BUSINESS!"" Behind him, an OLD MAN plays a piano on the street. Both of them there to draw attention to the big sale going on in the store.","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0074","Joker's doing a little Charlie Chaplin like waddle to the music. Most people walk right past, ignoring him. A few bump into him by mistake.","Joker's doing a little Charlie Chaplin like waddle to the music. Most people walk right past, ignoring him. A few bump into him by mistake.","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0075","JOKER SEES A GROUP OF FIVE BOYS, no more than 15-years-old, walking toward him. He moves out of their way. They crack up laughing when they see him. Start making fun of him.","JOKER SEES A GROUP OF FIVE BOYS, no more than 15-years-old, walking toward him. He moves out of their way. They crack up laughing when they see him. Start making fun of him.","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0076","Joker ignores them, tries to do his job the best he can while maintaining some dignity. Keeps dancing and holding up the sign.","Joker ignores them, tries to do his job the best he can while maintaining some dignity. Keeps dancing and holding up the sign.","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0077","One of the kids knocks the sign out of Joker's hands--","One of the kids knocks the sign out of Joker's hands--","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0078","Suck my dick, clown.","Suck my dick, clown.","KID #1","KID #1","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0079","The kids laugh. Joker doesn't say anything. Just bends over to pick up the sign--","The kids laugh. Joker doesn't say anything. Just bends over to pick up the sign--","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0080","Another kid kicks him in the ass--","Another kid kicks him in the ass--","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0081","Whoops.","Whoops.","KID #2","KID #2","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0082","Joker falls face first onto the sidewalk. Oddly, the old man playing the piano picks up the pace of the music--","Joker falls face first onto the sidewalk. Oddly, the old man playing the piano picks up the pace of the music--","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0083","The kids crack up. One of the boys grabs Joker's sign and takes off running across the street--","The kids crack up. One of the boys grabs Joker's sign and takes off running across the street--","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0084","The other kids follow, weaving through traffic--","The other kids follow, weaving through traffic--","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0085","Joker gets up and gives chase. He needs his sign back.","Joker gets up and gives chase. He needs his sign back.","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0086","He almost gets hit by a taxi, spinning out of the way just in time-- Spinning right into another taxi that stops just short of hitting him.","He almost gets hit by a taxi, spinning out of the way just in time-- Spinning right into another taxi that stops just short of hitting him.","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0087","Joker keeps running through traffic. People stare. A clown barreling down the street has got to be a joke--","Joker keeps running through traffic. People stare. A clown barreling down the street has got to be a joke--","CONTEXT","CONTEXT","EXT. GOTHAM SQUARE, MIDTOWN - KENNY'S MUSIC SHOP - DAY"
"id0088","The five boys are booking it down the crowded street laughing and whooping it up. At the last second they take a sharp right turn down a cross street--","The five boys are booking it down the crowded street laughing and whooping it up. At the last second they take a sharp right turn down a cross street--","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0089","Joker almost overshoots the corner, slip-sliding in his big red shoes--","Joker almost overshoots the corner, slip-sliding in his big red shoes--","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0090","He rights himself and heads down after them--","He rights himself and heads down after them--","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0091","Sees them running up ahead--","Sees them running up ahead--","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0092","WHAP! Out of nowhere Joker gets hit in the face!","WHAP! Out of nowhere Joker gets hit in the face!","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0093","He falls to the ground.","He falls to the ground.","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0094","One of the kids was hiding between parked cars and hit Joker with the ""EVERYTHING MUST GO!"" sign, splintering it in two--","One of the kids was hiding between parked cars and hit Joker with the ""EVERYTHING MUST GO!"" sign, splintering it in two--","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0095","The other kids turn back and walk up to Joker down on the ground.","The other kids turn back and walk up to Joker down on the ground.","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0096","Joker reaches out, still trying to save the sign--","Joker reaches out, still trying to save the sign--","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0097","THE KIDS START KICKING AND BEATING THE SHIT out of Joker. It's brutal and vicious. Nobody on the street stops to help.","THE KIDS START KICKING AND BEATING THE SHIT out of Joker. It's brutal and vicious. Nobody on the street stops to help.","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0098","CLOSE ON JOKER'S HOBO CLOWN FACE, down on the ground. Sweat running down his face, smearing his make-up. He doesn't even look like he's in pain. He just takes the beating.","CLOSE ON JOKER'S HOBO CLOWN FACE, down on the ground. Sweat running down his face, smearing his make-up. He doesn't even look like he's in pain. He just takes the beating.","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0099","That stupid frown painted on his face.","That stupid frown painted on his face.","CONTEXT","CONTEXT","EXT. CORNER, SIDE STREET - GOTHAM SQUARE - CONTINUOUS"
"id0100","Joker makes his way toward the back of the crowded bus, now walking with a slight limp, but keeping his head held high.","Joker makes his way toward the back of the crowded bus, now walking with a slight limp, but keeping his head held high.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0101","His make-up's washed off, costume and props all shoved into a big shopping bag slung over his shoulder. Some white grease-paint still smudged on the sides of his face.","His make-up's washed off, costume and props all shoved into a big shopping bag slung over his shoulder. Some white grease-paint still smudged on the sides of his face.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0102","He finds an empty seat in the back of the bus. Sees a sad-eyed FOUR-YEAR-OLD GIRL, face puffy from crying, sitting on her knees looking back at him. Her mother's facing forward, but even from behind you can tell she's angry.","He finds an empty seat in the back of the bus. Sees a sad-eyed FOUR-YEAR-OLD GIRL, face puffy from crying, sitting on her knees looking back at him. Her mother's facing forward, but even from behind you can tell she's angry.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0103","Joker sees the sad-eyed girl staring straight back at him. He doesn't know where to look, feeling self-conscious and small. He gets back into ""character"" smiling like a clown and covers his face with his hands-- Starts playing the peek-a-boo game with her.","Joker sees the sad-eyed girl staring straight back at him. He doesn't know where to look, feeling self-conscious and small. He gets back into ""character"" smiling like a clown and covers his face with his hands-- Starts playing the peek-a-boo game with her.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0104","The girl stares back at him for a moment then giggles--","The girl stares back at him for a moment then giggles--","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0105","(turns back to Joker; already annoyed) Can you please stop bothering my kid?","Can you please stop bothering my kid?","WOMAN ON BUS","WOMAN ON BUS","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0106","I wasn't bothering her, I was--","I wasn't bothering her, I was--","JOKER","JOKER","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0107","(interrupts) Just stop.","Just stop.","WOMAN ON BUS","WOMAN ON BUS","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0108","AND SUDDENLY JOKER STARTS TO LAUGH. LOUD. He covers his mouth trying to hide it-- Shakes his head, laughter pausing for a moment, but then it comes on stronger. His eyes are sad. It actually looks like the laughter causes him pain.","AND SUDDENLY JOKER STARTS TO LAUGH. LOUD. He covers his mouth trying to hide it-- Shakes his head, laughter pausing for a moment, but then it comes on stronger. His eyes are sad. It actually looks like the laughter causes him pain.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0109","People on the bus are staring. The girl looks like she's going to cry again.","People on the bus are staring. The girl looks like she's going to cry again.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0110","You think that's funny?","You think that's funny?","WOMAN ON BUS","WOMAN ON BUS","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0111","Joker shakes his head no, but he can't stop laughing. He reaches in his pocket and pulls out a small card. Hands it to the woman.","Joker shakes his head no, but he can't stop laughing. He reaches in his pocket and pulls out a small card. Hands it to the woman.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0112","CLOSE ON THE CARD, it reads: ""Forgive my laughter. I have a condition (more on back)""","CLOSE ON THE CARD, it reads: ""Forgive my laughter. I have a condition ""","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0113","She turns the card over and there is a bunch of information in small writing-- ""It's a medical condition causing sudden, frequent, uncontrollable laughter that doesn't match how you feel. It can happen in people with a brain injury or certain neurological conditions.""","She turns the card over and there is a bunch of information in small writing-- ""It's a medical condition causing sudden, frequent, uncontrollable laughter that doesn't match how you feel. It can happen in people with a brain injury or certain neurological conditions.""","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0114","She doesn't read it (but if you freeze frame the movie you could). She just shakes her head annoyed and throws the card on the ground.","She doesn't read it . She just shakes her head annoyed and throws the card on the ground.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0115","Joker laughs harder. Tears running down his face.","Joker laughs harder. Tears running down his face.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0116","Not wanting to attract any more attention to himself, he pulls up his red hood, and uses his threadbare scarf to cover his mouth, trying to muffle the laughter.","Not wanting to attract any more attention to himself, he pulls up his red hood, and uses his threadbare scarf to cover his mouth, trying to muffle the laughter.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0117","He looks out at the city passing him by.","He looks out at the city passing him by.","CONTEXT","CONTEXT","INT. CITY BUS (PULLING OUT) - HEADING DOWNTOWN - DUSK"
"id0118","The bus pulls away, sun almost gone.","The bus pulls away, sun almost gone.","CONTEXT","CONTEXT","EXT. LOWER EAST SIDE, STREETS - GOTHAM - EVENING"
"id0119","Joker heads slowly down the litter-covered streets. Garbage is piled along the sidewalks, the air thick with smog creates a haze over everything.","Joker heads slowly down the litter-covered streets. Garbage is piled along the sidewalks, the air thick with smog creates a haze over everything.","CONTEXT","CONTEXT","EXT. LOWER EAST SIDE, STREETS - GOTHAM - EVENING"
"id0120","The streets are crowded with the poor, the elderly and disenfranchised. Women with children in busted strollers. Homeless people sleeping on subway grates. Stray dogs. His is one of the few white faces.","The streets are crowded with the poor, the elderly and disenfranchised. Women with children in busted strollers. Homeless people sleeping on subway grates. Stray dogs. His is one of the few white faces.","CONTEXT","CONTEXT","EXT. LOWER EAST SIDE, STREETS - GOTHAM - EVENING"
